MANDT,ZZ_ORDERNO,ZZ_ITEM,USNAM,ZZ_STATUS,PSODT,PSOTM
100,1000000008,2,XUG,REPAIRED,2019-10-23,06:29:13
100,1000000008,3,XUG,CLOSED,2019-10-25,09:51:11
100,1000000009,1,LUY,NEW,2019-10-14,03:32:51
100,1000000009,2,XUG,REPAIRED,2020-07-23,05:53:15
100,1000000009,3,XUG,REPAIRED,2020-07-23,05:56:15
100,1000000009,4,XUG,REPAIRED,2020-07-23,05:58:02
100,1000000009,5,XUG,REPAIRED,2020-07-23,06:01:47
100,1000000010,1,LUY,NEW,2019-10-14,03:34:06
100,1000000010,2,XUG,REPAIRED,2019-11-18,05:31:39
100,1000000010,3,XUG,CLOSED,2019-11-18,05:31:48
100,1000000011,1,LUY,NEW,2019-10-14,03:34:31
100,1000000012,1,LUY,NEW,2019-10-14,03:37:39
100,1000000013,1,LUY,NEW,2019-10-14,04:11:37
100,1000000013,2,LUY,REPAIRED,2019-10-14,05:06:16
100,1000000013,3,LUY,CLOSED,2019-10-14,05:06:26
100,1000000013,4,LUY,DELETED,2019-10-14,05:06:48
100,1000000014,1,LUY,NEW,2019-10-14,05:07:35
100,1000000014,2,LUY,REPAIRED,2019-10-14,05:12:55
100,1000000015,1,LUY,NEW,2019-10-14,05:27:33
100,1000000016,1,XUG,NEW,2019-10-14,06:28:34
100,1000000016,2,XUG,REPAIRED,2019-10-14,06:31:41
100,1000000016,3,XUG,CLOSED,2019-10-14,06:36:56
100,1000000017,1,XUG,NEW,2019-10-14,06:38:21
100,1000000017,2,XUG,DELETED,2019-10-14,06:38:36
100,1000000018,1,LUY,NEW,2019-10-14,07:38:04
100,1000000018,2,LUY,REPAIRED,2019-10-14,07:53:41
100,1000000018,3,LUY,CLOSED,2019-10-14,07:53:50
100,1000000019,1,LUY,NEW,2019-10-14,07:57:51
100,1000000019,2,LUY,REPAIRED,2019-10-14,07:58:27
100,1000000019,3,LUY,CLOSED,2019-10-14,07:58:37
100,1000000020,1,LUY,NEW,2019-10-14,08:05:19
100,1000000020,2,LUY,REPAIRED,2019-10-14,08:06:14
100,1000000020,3,LUY,CLOSED,2019-10-14,08:06:21
100,1000000021,1,LUY,NEW,2019-10-14,08:13:44
100,1000000021,2,LUY,REPAIRED,2019-10-14,08:14:04
100,1000000021,3,LUY,CLOSED,2019-10-14,08:14:16
100,1000000022,1,LUY,NEW,2019-10-14,08:19:08
100,1000000022,2,LUY,REPAIRED,2019-10-14,08:22:47
100,1000000023,1,LUY,NEW,2019-10-14,08:45:20
100,1000000024,1,LUY,NEW,2019-10-14,09:14:51
100,1000000024,2,LUY,DELETED,2019-11-08,06:33:29
100,1000000025,1,LUY,NEW,2019-10-14,09:29:03
100,1000000025,2,LUY,REPAIRED,2019-10-14,09:56:23
100,1000000025,3,LUY,CLOSED,2019-10-14,10:07:15
100,1000000026,1,LUY,NEW,2019-10-14,10:15:29
100,1000000026,2,LUY,DELETED,2019-10-14,10:17:40
100,1000000027,1,LUY,NEW,2019-10-14,10:22:55
100,1000000027,2,LUY,REPAIRED,2019-10-14,10:28:06
100,1000000027,3,LUY,CLOSED,2019-10-14,10:29:38
100,1000000027,4,LUY,CLOSED,2019-10-14,10:29:52
100,1000000028,1,LUY,NEW,2019-10-14,10:31:08
100,1000000028,2,LUY,REPAIRED,2019-10-14,10:31:25
100,1000000029,1,LUY,NEW,2019-10-14,10:33:23
100,1000000030,1,LUY,NEW,2019-10-14,10:41:33
100,1000000030,2,LUY,REPAIRED,2019-10-14,10:45:31
100,1000000030,3,LUY,CLOSED,2019-10-14,10:45:53
100,1000000031,1,LUY,NEW,2019-10-14,10:46:40
100,1000000031,2,LUY,DELETED,2019-10-14,10:47:00
100,1000000032,1,LUY,NEW,2019-10-15,04:40:34
100,1000000032,2,LUY,REPAIRED,2019-10-15,04:49:05
100,1000000032,3,XUG,REPAIRED,2019-10-15,08:42:47
100,1000000033,1,XUG,NEW,2019-10-15,08:44:11
100,1000000033,2,XUG,REPAIRED,2019-10-15,08:45:16
100,1000000033,3,XUG,CLOSED,2019-10-15,08:45:34
100,1000000034,1,LUY,NEW,2019-10-15,08:59:56
100,1000000034,2,LUY,REPAIRED,2019-10-15,09:00:36
100,1000000034,3,LUY,CLOSED,2019-10-15,09:00:43
100,1000000035,1,LUY,NEW,2019-10-15,09:02:31
100,1000000035,2,LUY,REPAIRED,2019-10-15,09:03:10
100,1000000035,3,LUY,CLOSED,2019-10-15,09:03:55
100,1000000036,1,XUG,NEW,2019-10-16,07:21:55
100,1000000036,2,XUG,REPAIRED,2019-10-16,07:23:16
100,1000000036,3,XUG,CLOSED,2019-10-16,07:23:42
100,1000000037,1,LUY,NEW,2019-10-17,05:09:39
100,1000000037,2,LUY,REPAIRED,2019-11-05,05:09:06
100,1000000038,1,LUY,NEW,2019-10-17,05:15:07
100,1000000038,2,LUY,REPAIRED,2019-10-18,04:50:31
100,1000000038,3,LUY,REPAIRED,2019-10-18,05:06:31
100,1000000038,4,LUY,CLOSED,2019-10-18,05:06:43
100,1000000039,1,LUY,NEW,2019-10-18,05:08:40
100,1000000039,2,LUY,REPAIRED,2019-10-18,05:09:28
100,1000000039,3,XUG,CLOSED,2019-10-25,09:11:17
100,1000000040,1,XUG,NEW,2019-10-23,06:33:42
100,1000000040,2,XUG,REPAIRED,2019-10-25,10:05:43
100,1000000040,3,XUG,CLOSED,2019-10-25,10:05:49
100,1000000041,1,XUG,NEW,2019-10-23,08:50:09
100,1000000041,2,XUG,REPAIRED,2019-10-23,08:55:30
100,1000000041,3,LUY,CLOSED,2019-10-30,08:50:49
100,1000000042,1,LUY,NEW,2019-10-25,05:37:25
100,1000000043,1,LUY,NEW,2019-10-25,05:41:10
100,1000000043,2,LUY,REPAIRED,2019-11-05,04:27:52
100,1000000044,1,LUY,NEW,2019-10-25,05:42:40
100,1000000044,2,LUY,DELETED,2019-10-30,09:18:18
100,1000000045,1,LUY,NEW,2019-10-28,04:54:41
100,1000000045,2,LUY,REPAIRED,2019-10-30,07:11:01
100,1000000045,3,LUY,REPAIRED,2019-10-30,07:11:20
100,1000000045,4,LUY,REPAIRED,2019-10-30,07:13:12
100,1000000045,5,LUY,REPAIRED,2019-10-31,04:39:04
100,1000000045,6,LUY,REPAIRED,2019-11-05,04:27:18
100,1000000045,7,LUY,CLOSED,2019-11-08,06:23:14
100,1000000046,1,XUG,NEW,2019-10-29,05:30:46
100,1000000046,2,LUY,REPAIRED,2019-10-30,07:08:39
100,1000000046,3,LUY,REPAIRED,2019-10-30,07:13:42
100,1000000046,4,LUY,REPAIRED,2019-10-30,07:14:07
100,1000000046,5,LUY,REPAIRED,2019-10-30,07:16:40
100,1000000046,6,LUY,REPAIRED,2019-10-30,07:22:32
100,1000000046,7,LUY,REPAIRED,2019-10-30,07:40:21
100,1000000046,8,LUY,REPAIRED,2019-10-30,07:42:22
100,1000000046,9,LUY,REPAIRED,2019-11-01,05:51:33
100,1000000046,10,LUY,REPAIRED,2019-11-01,09:16:33
100,1000000046,11,LUY,REPAIRED,2019-11-05,05:08:16
100,1000000046,12,LUY,CLOSED,2019-11-08,06:18:44
100,1000000047,1,LUY,NEW,2019-11-05,04:43:48
100,1000000048,1,LUY,NEW,2019-11-05,04:44:55
100,1000000049,1,LUY,NEW,2019-11-05,08:37:29
100,1000000050,1,LUY,NEW,2019-11-05,08:45:09
100,1000000050,2,LUY,REPAIRED,2019-11-08,06:02:17
100,1000000051,1,LUY,NEW,2019-11-08,06:57:35
100,1000000052,1,LUY,NEW,2019-11-08,08:30:18
100,1000000052,2,LUY,REPAIRED,2019-11-11,06:19:23
100,1000000052,3,LUY,REPAIRED,2019-11-18,07:38:27
100,1000000052,4,LUY,REPAIRED,2019-11-20,07:52:42
100,1000000052,5,LUY,REPAIRED,2020-03-10,03:05:09
100,1000000053,1,LUY,NEW,2019-11-18,08:13:57
100,1000000054,1,LUY,NEW,2020-03-10,05:49:13
100,1000000054,2,LUY,REPAIRED,2020-03-10,05:53:59
100,1000000054,3,LUY,REPAIRED,2020-03-10,05:54:00
100,1000000055,1,LUY,NEW,2020-03-10,06:01:15
100,1000000056,1,LUY,NEW,2020-03-10,06:05:35
100,1000000057,1,LUY,NEW,2020-03-10,06:08:47
100,1000000057,2,LUY,REPAIRED,2020-03-10,06:09:20
100,1000000057,3,LUY,CLOSED,2020-03-10,06:10:06
100,1000000058,1,LUY,NEW,2020-03-10,06:12:26
100,1000000058,2,LUY,REPAIRED,2020-03-10,06:13:53
100,1000000058,3,LUY,CLOSED,2020-03-10,06:14:04
100,1000000059,1,LUY,NEW,2020-03-10,06:17:19
100,1000000060,1,LUY,NEW,2020-03-10,06:22:44
100,1000000061,1,LUY,NEW,2020-03-10,06:24:23
100,1000000062,1,LUY,NEW,2020-03-10,06:25:42
100,1000000063,1,LUY,NEW,2020-03-10,06:27:12
100,1000000064,1,LUY,NEW,2020-03-10,06:29:05
100,1000000065,1,LUY,NEW,2020-03-10,06:29:44
100,1000000066,1,LUY,NEW,2020-03-10,06:33:22
100,1000000067,1,LUY,NEW,2020-03-10,07:00:11
100,1000000067,2,LUY,REPAIRED,2020-03-10,07:05:13
100,1000000067,3,LUY,CLOSED,2020-03-10,07:05:30
100,1000000068,1,XUG,NEW,2020-03-10,08:30:11
100,1000000069,1,LUY,NEW,2020-03-10,08:33:48
100,1000000069,2,XUG,DELETED,2020-03-10,08:40:21
100,1000000070,1,XUG,NEW,2020-03-10,08:35:02
100,1000000070,2,XUG,REPAIRED,2020-03-10,08:40:05
100,1000000070,3,XUG,CLOSED,2020-03-10,08:40:12
100,1000000071,1,XUG,NEW,2020-03-10,08:35:55
100,1000000071,2,XUG,REPAIRED,2020-03-10,08:37:49
100,1000000071,3,XUG,CLOSED,2020-03-10,08:38:00
