MANDT,orderNo,statusNo,productID,customerNo,issDate,issTime,issContent,repPersonNo,dateFrom,timeFrom,dateTo,timeTo,repContent,price,currKey,feedBack,deleteFlag,zaction
100,1000000023,DELETED,100000001,CUS0001,2019-10-24,00:00:00,111,,,00:00:00,,00:00:00,,0,,0,,
100,1000000024,DELETED,100000003,CUS0001,2019-10-24,00:00:00,PLEASE FIX THE MACHINE AS SOON AS POSSIBLE,,,00:00:00,,00:00:00,,0,,0,,
100,1000000025,CLOSED,100000003,CUS0002,2019-10-24,00:00:00,PLEASE FIX THIS SUPER PROJECTOR AS SOON AS POSSIBLE,REP001,2019-10-14,05:54:25,2019-10-25,05:54:28,THE SUPER PROJECTOR NOW WORKS WELL,200,JPY,4,,
100,1000000026,DELETED,100000003,CUS0002,2019-10-24,00:00:00,111,,,00:00:00,,00:00:00,,0,,0,,
100,1000000027,CLOSED,100000001,CUS0002,2019-10-24,00:00:00,13213,REP002,2019-10-17,06:26:58,2019-10-31,06:27:04,ASDADA,231,JPY,4,,
100,1000000028,CLOSED,PRODUCT TEST02,CUS0002,2019-10-24,00:00:00,12131,REP001,2019-10-02,06:31:12,2019-10-07,06:31:14,123,123,JPY,4,,
100,1000000029,DELETED,PRODUCT TEST02,CUS0002,2019-10-24,00:00:00,121,,,00:00:00,,00:00:00,,0,,0,,
100,1000000030,CLOSED,100000001,CUS0001,2019-10-24,00:00:00,1231,REP001,2019-10-14,06:44:28,2019-10-21,06:44:59,1,111,JPY,3,,
100,1000000031,DELETED,100000001,CUS0002,2019-10-25,00:00:00,1231,,,00:00:00,,00:00:00,,0,,0,,
100,1000000032,CLOSED,100000001,CUS0001,2019-10-25,00:00:00,1231,REP001,2019-10-15,08:48:44,2019-10-21,06:48:47,123,100,JPY,5,,
100,1000000033,CLOSED,100000001,CUS0002,2019-10-25,00:00:00,GLASS BROKEN,REP001,2019-10-15,04:44:32,2019-10-15,05:44:37,CHANGE A NEW GLASS,100,USD,5,,
100,1000000034,CLOSED,PRODUCT TEST02,CUS0002,2019-10-25,00:00:00,1111,REP001,2019-10-15,05:00:14,2019-10-17,05:00:17,1,11,JPY,4,,
100,1000000035,CLOSED,PRODUCT TEST02,CUS0002,2019-10-25,00:00:00,123,REP001,2019-10-15,05:02:49,2019-10-30,05:02:53,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,12333,USD,4,,
100,1000000036,CLOSED,100000001,CUS0001,2019-10-25,00:00:00,TEST ISSUE,REP001,2019-10-16,03:22:36,2019-10-17,03:22:41,TEST REPAIR,10,USD,3,,
100,1000000037,CLOSED,RINV25RC,CUS0000001,2019-10-25,00:00:00,TEST FOR NAVI,REP001,2019-11-11,01:08:52,2019-11-28,01:08:54,1231,1231,JPY,5,,
100,1000000038,CLOSED,RINV25RC,CUS0001,2019-10-25,00:00:00,TEST FOR NAVI2,REP001,2019-10-02,08:50:20,2019-10-15,08:50:24,123,123123213,USD,3,,
100,1000000039,CLOSED,NN-SN936W,CUS0000004,2019-10-25,00:00:00,123,RUS0000003,2019-10-18,01:08:49,2019-10-30,01:08:51,AS SOON AS POSSIBLE,10000,USD,2,,
100,1000000040,CLOSED,NN-SN936W,CUS0000007,2019-11-01,00:00:00,CAN'T BE OPEN!,RUS0000005,2019-10-25,06:05:25,2019-11-01,06:05:28,TEST,100,JPY,5,,
100,1000000041,CLOSED,NN-SN936W,CUS0000001,2019-11-01,00:00:00,SWICH IS WRONG,RUS0000002,2019-10-23,04:53:33,2019-10-24,04:53:39,CHANGE SWITCH,100,JPY,5,,
100,1000000042,NEW,NN-SN936W,CUS0000005,2019-11-04,00:00:00,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000043,CLOSED,RD322G11S,CUS0000004,2019-11-01,00:00:00,123,RUS0000001,2019-11-05,12:27:30,2019-11-28,12:27:32,testest,100,USD,5,,
100,1000000044,DELETED,NN-SN936W,CUS0000004,2019-11-01,00:00:00,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000045,CLOSED,NN-SN936W,CUS0000005,2019-11-04,00:00:00,TEST FOR MASTER DETAIL,RUS0000003,2019-10-15,07:10:43,2019-10-22,07:10:46,TESTEST123,1223,USD,5,,
100,1000000046,CLOSED,RD322G11S,CUS0000004,2019-11-04,00:00:00,TEST,RUS0000001,2019-10-22,03:08:20,2019-10-29,03:08:22,TESTEST123,20222239,JPY,4,,
100,1000000047,NEW,NN-SN936W,CUS0000005,2019-11-05,04:43:48,test11/5,,,00:00:00,,00:00:00,,0,,0,,
100,1000000048,DELETED,RD322G11S,CUS0000004,2019-11-05,04:44:55,1231,,,00:00:00,,00:00:00,,0,,0,,
100,1000000049,NEW,100000001,CUS0000001,2019-11-05,08:37:29,test11/5,,,00:00:00,,00:00:00,,0,,0,,
100,1000000050,CLOSED,RD322G11S,CUS0000001,2019-11-05,08:45:09,testtest11/5,RUS0000001,2019-11-13,01:51:22,2019-11-18,02:52:27,testtest001,100,USD,5,,
100,1000000051,CLOSED,100000001,CUS0000003,2019-11-08,06:57:35,1231,RUS0000001,2020-11-25,03:23:54,2020-11-27,03:23:57,12,12,312,5,,
100,1000000052,CLOSED,100000003,CUS0000001,2019-11-08,08:30:18,testetstets,RUS0000001,2019-11-11,02:19:08,2019-11-27,02:19:10,testest,110012,USD,5,,
100,1000000053,NEW,100000001,CUS0000005,2019-11-18,08:13:57,test11/18,,,00:00:00,,00:00:00,,0,,0,,
100,1000000054,REPAIRED,NN-SN936W,CUS0000005,2020-03-10,05:49:13,123,RUS0000003,2020-03-10,01:53:32,2020-03-10,03:53:35,111,123311,111,0,,
100,1000000055,NEW,NN-SN936W,CUS0000001,2020-03-10,06:01:15,test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000056,NEW,NN-SN936W,CUS0000003,2020-03-10,06:05:35,testversion2,,,00:00:00,,00:00:00,,0,,0,,
100,1000000057,CLOSED,NN-SN936W,CUS0000005,2020-03-10,06:08:47,testversion3,RUS0000003,2020-03-10,02:09:01,2020-03-10,03:09:03,testversion3,12,JPY,5,,
100,1000000058,CLOSED,NN-SN936W,CUS0000007,2020-03-10,06:12:26,test master detail version,RUS0000002,2020-03-18,02:13:31,2020-03-26,04:13:34,masterdetail version,200,JPY,4,,
100,1000000059,NEW,NN-SN936W,CUS0000005,2020-03-10,06:17:19,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000060,NEW,NN-SN936W,CUS0000005,2020-03-10,06:22:44,md test version 2,,,00:00:00,,00:00:00,,0,,0,,
100,1000000061,NEW,AV25PAN,CUS0000004,2020-03-10,06:24:23,md test version 4,,,00:00:00,,00:00:00,,0,,0,,
100,1000000062,NEW,NN-SN936W,CUS0000005,2020-03-10,06:25:42,local test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000063,NEW,NN-SN936W,CUS0000005,2020-03-10,06:27:12,1,,,00:00:00,,00:00:00,,0,,0,,
100,1000000064,NEW,NN-SN936W,CUS0000005,2020-03-10,06:29:05,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000065,NEW,AV25PAN,CUS0000005,2020-03-10,06:29:44,test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000066,NEW,NN-SN936W,CUS0000005,2020-03-10,06:33:22,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000067,CLOSED,AV25PAN,CUS0000005,2020-03-10,07:00:11,orderdumy,RUS0000005,2020-03-10,05:04:48,2020-03-10,05:04:52,md repair,2222,JPY,4,,
100,1000000068,NEW,ZXU9001,CUS0000006,2020-03-10,08:30:11,Screen can not turn on,,,00:00:00,,00:00:00,,0,,0,,
100,1000000069,DELETED,NN-SN936W,CUS0000004,2020-03-10,08:33:48,test123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000070,CLOSED,ZXU9002,CUS0000004,2020-03-10,08:35:02,Screen broken,RUS0000002,2020-03-10,04:39:40,2020-03-17,04:39:46,Change Screen,10,USD,5,,
100,1000000071,CLOSED,ZXU9005,CUS0000006,2020-03-10,08:35:55,Screen gray,RUS0000003,2020-03-10,04:36:41,2020-03-11,04:36:47,Change Screen,10,USD,5,,
100,1000000072,CLOSED,ZXU9003,CUS0000001,2020-11-02,02:21:53,Switch wrong,RUS0000003,2020-11-02,10:22:51,2020-11-03,10:23:53,Change,10,RMB,5,,
100,1000000073,NEW,TEST00001,CUS0001,2020-11-05,07:03:02,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000074,NEW,ZXU9003,CUS0000003,2020-11-05,07:07:24,12,,,00:00:00,,00:00:00,,0,,0,,
100,1000000075,NEW,100000001,CUS0000003,2020-11-09,02:24:11,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000076,NEW,HANA001,CUS0000004,2020-11-09,03:07:58,test20201109,,,00:00:00,,00:00:00,,0,,0,,
100,1000000077,NEW,100000001,CUS0000002,2020-11-09,03:08:10,test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000078,NEW,100000001,CUS0000002,2020-11-09,03:08:18,test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000079,NEW,100000001,CUS0000003,2020-11-10,05:23:43,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000080,NEW,100000001,CUS0000003,2020-11-10,05:23:52,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000081,NEW,100000001,CUS0000003,2020-11-12,02:20:27,testli11,,,00:00:00,,00:00:00,,0,,0,,
100,1000000082,NEW,100000001,CUS0000003,2020-11-12,02:20:42,testli11,,,00:00:00,,00:00:00,,0,,0,,
100,1000000083,NEW,100000001,CUS0000003,2020-11-12,02:21:03,testli11,,,00:00:00,,00:00:00,,0,,0,,
100,1000000084,NEW,100000001,CUS0000003,2020-11-12,02:22:37,testli11,,,00:00:00,,00:00:00,,0,,0,,
100,1000000085,NEW,100000001,CUS0000002,2020-11-12,02:24:20,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000086,NEW,100000001,CUS0000001,2020-11-12,02:33:10,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000087,NEW,100000001,CUS0000002,2020-11-12,02:39:41,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000088,NEW,100000001,CUS0000001,2020-11-12,02:50:23,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000089,NEW,100000001,CUS0000001,2020-11-12,02:50:44,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000090,NEW,100000001,CUS0000001,2020-11-12,02:51:09,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000091,NEW,100000001,CUS0000001,2020-11-12,02:58:45,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000092,NEW,100000001,CUS0000001,2020-11-12,02:59:19,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000093,NEW,100000001,CUS0000001,2020-11-12,03:00:08,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000094,NEW,100000001,CUS0000001,2020-11-12,03:03:48,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000095,NEW,100000001,CUS0000001,2020-11-12,03:22:37,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000096,NEW,AV25PAN,CUS0000006,2020-11-12,06:28:15,erte,,,00:00:00,,00:00:00,,0,,0,,
100,1000000097,NEW,100000001,CUS0000001,2020-11-13,01:05:41,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000098,NEW,100000001,CUS0000001,2020-11-13,01:29:19,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000099,NEW,100000001,CUS0000001,2020-11-13,01:36:56,1233,,,00:00:00,,00:00:00,,0,,0,,
100,1000000100,NEW,100000001,CUS0000001,2020-11-13,05:36:55,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000101,DELETED,100000001,CUS0000001,2020-11-13,05:37:28,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000102,DELETED,100000001,CUS0000001,2020-11-13,06:06:30,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000103,DELETED,100000001,CUS0000001,2020-11-13,06:07:32,123,,,00:00:00,,00:00:00,,0,,0,,
100,1000000104,NEW,100000001,CUS0000001,2020-11-13,08:21:11,12,,,00:00:00,,00:00:00,,0,,0,,
100,1000000105,CLOSED,100000001,CUS0000002,2020-11-16,02:53:08,12332,RUS0000002,2020-11-16,08:53:23,2020-11-19,08:53:28,12,123,1,5,,
100,1000000106,CLOSED,NN-SN936W,CUS0000001,2020-11-16,07:30:54,123,RUS0000001,2020-11-02,01:13:57,2020-11-25,01:13:59,88,77,USD,4,,
100,1000000107,NEW,AV25PAN,CUS0000004,2020-11-16,07:31:24,1,,,00:00:00,,00:00:00,,0,,0,,
100,1000000108,CLOSED,100000001,CUS0000001,2020-11-16,07:38:16,102,RUS0000002,2020-11-16,01:38:39,2020-11-19,01:38:44,1233,3211,1,5,,
100,1000000109,REPAIRED,100000001,CUS0000001,2020-11-16,08:42:09,123,RUS0000001,2020-11-25,11:29:16,2020-11-26,11:29:20,1,1,1,0,,
100,1000000110,REPAIRED,100000001,CUS0000001,2020-11-16,08:43:53,32111,RUS0000002,2020-11-22,02:22:36,2020-11-24,02:22:26,1233,123,1,0,,
100,1000000111,CLOSED,100000001,CUS0000002,2020-11-23,08:53:07,123321,RUS0000001,2020-11-11,08:12:01,2020-12-03,08:11:55,okk,7777,USD,3,,
100,1000000112,NEW,HANA001,CUS0000001,2020-11-24,01:49:56,？？,,,00:00:00,,00:00:00,,0,,0,,
100,1000000113,NEW,100000001,CUS0000001,2020-11-24,01:50:29,test,,,00:00:00,,00:00:00,,0,,0,,
100,1000000114,REPAIRED,100000001,CUS0000001,2020-11-24,01:55:30,12,RUS0000001,2020-11-24,04:42:33,2020-11-26,04:42:38,123,231,1,0,,
100,1000000115,CLOSED,100000003,CUS0000001,2020-11-24,01:56:57,123,RUS0000002,2020-11-18,02:24:44,2020-11-26,02:24:47,ok,444,USD,4,,
100,1000000116,REPAIRED,100000001,CUS0000001,2020-11-24,02:00:07,123333321,RUS0000003,2020-11-19,03:14:48,2020-12-03,03:14:50,asdf,222,USD,0,,
100,1000000117,REPAIRED,100000003,CUS0000001,2020-11-24,02:20:48,123,RUS0000001,2020-11-02,04:04:59,2020-12-04,12:05:16,Pay,9999,USD,0,,
100,1000000118,REPAIRED,100000003,CUS0000001,2020-11-24,03:31:11,FIX MY SUPER PROJECTOR PLEASE !,REP001,2020-11-24,04:04:59,2020-12-04,12:05:16,Fixed,5700,JPY,0,,
100,1000000119,CLOSED,100000001,CUS0000001,2020-11-25,02:03:21,There's a problem with the PORTABLE CONVECTOR.,REP001,2020-11-25,06:04:16,2020-11-25,06:04:20,Fixed,99999,USD,5,,
100,1000000120,CLOSED,100000001,CUS0000002,2020-11-25,02:34:27,fix,REP001,2020-11-24,10:36:18,2020-11-26,10:36:21,ok,9999,USD,5,,
100,1000000121,DELETED,HANA001,CUS0000003,2020-11-25,02:43:57,okk,,,00:00:00,,00:00:00,,0,,0,,
100,1000000122,REPAIRED,100000001,CUS0000002,2020-11-25,02:53:07,123,RUS0000002,2020-11-25,06:53:20,2020-11-26,06:53:24,1221,1221,121,0,,
100,1000000123,CLOSED,AV25PAN,CUS0000002,2020-11-25,02:58:20,123,RUS0000003,2020-11-19,11:58:29,2020-11-27,11:58:32,312,221,1,5,,
100,1000000124,CLOSED,100000001,CUS0000002,2020-11-25,05:16:54,fix,REP001,2020-11-25,01:17:01,2020-11-25,01:17:03,ok,999,usf,5,,
100,1000000125,REPAIRED,100000001,CUS0000001,2020-11-25,08:15:01,1234,RUS0000001,2020-11-27,02:16:07,2020-11-28,02:15:48,12,12,312,0,,
100,1000000126,CLOSED,AV25PAN9,CUS0000004,2020-11-25,08:28:43,???,RUS0000005,2020-11-25,12:28:56,2020-12-05,12:28:59,??,9999,USD,5,,
100,1000000127,CLOSED,100000001,CUS0000003,2020-11-25,08:33:36,123,RUS0000001,2020-11-24,02:50:45,2020-11-26,02:50:34,123,22,1,4,,
100,1000000128,REPAIRED,AV25PAN,CUS0000005,2020-11-25,08:47:48,123,RUS0000001,2020-11-24,11:19:45,2020-11-25,11:19:21,12,123,123,0,,
100,1000000129,CLOSED,100000001,CUS0000004,2020-11-25,09:00:09,23244,RUS0000005,2020-11-02,01:13:57,2020-11-25,01:13:59,666,99,USD,4,,
100,1000000130,CLOSED,100000003,CUS0000003,2020-11-26,01:51:05,Fix this SUPER PROJECTOR.,REP001,2020-11-16,06:10:38,2020-11-26,06:10:44,ok,99.90,USD,0,,
100,1000000131,CLOSED,100000001,CUS0000004,2020-11-26,02:41:53,fixxxxxx,REP002,2020-11-18,10:42:09,2020-11-26,10:42:11,okkk,99.90,USD,5,,
100,1000000132,REPAIRED,100000003,CUS0000003,2020-11-26,02:43:41,ok,RUS0000001,2020-11-05,10:43:48,2020-11-26,10:43:50,o,55,JPY,0,,
100,1000000133,REPAIRED,100000003,CUS0000004,2020-11-26,02:58:30,Fix this SUPER PROJECTOR.,REP001,2020-11-12,11:01:02,2020-11-26,11:01:05,OK,9.99,USD,0,,
100,1000000134,CLOSED,100000001,CUS0000004,2020-11-26,03:07:38,AVENGER 25PLUS,RUS0000002,2020-11-26,11:09:40,2020-12-05,11:09:43,ok,99.80,USD,5,,
100,1000000135,CLOSED,1008611,CUS0001,2020-11-26,03:22:34,fix,RUS0000005,2020-11-27,11:22:40,2020-12-05,11:22:42,fixed,89,JPY,5,,
100,1000000136,CLOSED,1008611,CUS0000004,2020-11-26,05:07:26,fix,XUG,2020-11-11,01:07:38,2020-11-26,01:07:41,ok,66,JPY,4,,
100,1000000137,CLOSED,1008613,CUS0000002,2020-11-26,05:23:53,sadfasdf,RUS0000005,2020-11-02,01:24:00,2020-11-27,01:24:02,ok,1,USD,5,,
100,1000000138,CLOSED,1008611,CUS0000003,2020-11-26,05:25:18,okk,XUG,2020-11-26,09:25:26,2020-12-05,09:25:29,ok,44,USD,5,,
100,1000000139,CLOSED,1008613,CUS0000003,2020-11-26,05:31:51,plpl,RUS0000005,2020-11-28,01:31:58,2020-12-05,01:32:00,99,99,USD,5,,
100,1000000140,CLOSED,1008611,CUS0000003,2020-11-26,05:33:17,okoko,RUS0000004,2020-11-08,01:33:24,2020-11-26,01:33:26,uuu,666,USD,5,,
100,1000000141,CLOSED,AV25PAN,CUS0000001,2020-11-26,06:24:32,12,RUS0000002,2020-12-02,04:42:38,2020-12-05,04:42:40,ok,9,USD,5,,
100,1000000142,CLOSED,AV25PAN8,CUS0001,2020-11-26,06:42:00,okk,RUS0000005,2020-11-25,02:42:10,2020-11-27,02:42:12,ok,1,USD,5,,
100,1000000143,CLOSED,AV25PAN5,CUS0000007,2020-11-26,08:02:37,fix?,RUS0000002,2020-11-01,04:37:15,2020-11-26,04:37:17,ok,10,JPY,5,,
100,1000000144,NEW,100000001,CUS0000001,2020-11-26,08:56:57,lkk,,,00:00:00,,00:00:00,,0,,0,,
100,1000000145,NEW,100000003,CUS0000004,2020-11-27,06:09:20,FIX,,,00:00:00,,00:00:00,,0,,0,,
100,1000000146,NEW,100000003,CUS0000004,2020-11-27,06:09:21,FIX,,,00:00:00,,00:00:00,,0,,0,,
100,1000000147,CLOSED,1008611,CUS0001,2020-11-30,06:23:29,okk,RUS0000004,2020-11-04,02:23:39,2020-11-27,02:23:43,d,1,USD,1,,
100,1000000148,REPAIRED,1008611,CUS0000004,2020-11-30,06:25:07,dd,RUS0000004,2020-11-26,02:25:14,2020-12-05,02:25:16,//,1,USD,0,,
100,1000000149,CLOSED,1008611,CUS0000002,2020-11-30,06:26:03,ddd,RUS0000004,2020-11-26,10:26:15,2020-12-04,10:26:17,ddd,1,USD,5,,
100,1000000150,CLOSED,100000001,CUS0000002,2020-11-30,06:27:57,12,REP001,2020-11-27,03:33:53,2020-11-30,03:33:57,1,1,1,3,,
100,1000000151,CLOSED,1008611,CUS0000003,2020-11-30,06:40:49,qqq,RUS0000001,2020-11-16,02:41:07,2020-11-27,02:41:10,ok,111,USD,1,,
100,1000000152,NEW,100000003,CUS0000003,2020-11-30,07:02:15,ooo,,,00:00:00,,00:00:00,,0,,0,,
100,1000000153,NEW,100000001,CUS0000001,2020-12-01,04:21:17,12,,,00:00:00,,00:00:00,,0,,0,,
100,1000000154,CLOSED,1008611,CUS0000003,2020-12-01,05:12:48,okk,RUS0000005,2020-12-24,01:12:56,2020-12-25,01:12:58,ok,4,JPY,5,,
100,1000000155,DELETED,1008611,CUS0000003,2020-12-01,05:14:53,a u ok,,,00:00:00,,00:00:00,,0,,0,,
